id,name,price,category,sub_category,price_limit,keywords,img_url
1,ZARA Gardenia Eau de Parfum,25,Beauty,Women,60,perfume|fragrance,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300
2,Miss Dior Blooming Bouquet,160,Beauty,Women,1000,perfume|fragrance,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?w=300
3,Cool Water for Men,35,Beauty,Men,60,perfume|fragrance,https://images.unsplash.com/photo-1508747703725-719777637510?w=300
4,Dior Sauvage Eau de Toilette,145,Beauty,Men,1000,perfume|fragrance,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?w=300
5,La Mer Crème de la Mer,380,Beauty,Luxury,1000,skincare|cream,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=300
6,CeraVe Moisturizing Cream,18,Beauty,Basic,30,skincare|cream,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=300
7,MAC Matte Lipstick,23,Beauty,Classic,60,makeup|lipstick,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=300
8,Dyson Supersonic Hair Dryer,429,Beauty,Premium,600,dryer|hair,https://images.unsplash.com/photo-1522338140262-f46f591261c2?w=300
9,iPhone 15 Pro,999,Electronics,Apple,1500,phone|iphone,https://images.unsplash.com/photo-1510557880182-3d4d3cba3f21?w=300
10,Samsung Galaxy S24 Ultra,1299,Electronics,Android,1500,phone|galaxy,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=300
11,MacBook Air M3,1099,Electronics,Apple,2000,laptop|computer,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=300
12,Razer Blade 16 Gaming Laptop,2699,Electronics,Gaming,3000,laptop|computer,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=300
13,Apple Watch Series 9,399,Electronics,Apple,500,watch|smart,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=300
14,Garmin Venu 3,350,Electronics,Fitness,400,watch|smart,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=300
15,Bose QC45 Headphones,329,Electronics,Bose,400,headphones|bose,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=300
